dataset,run_name,model_type,best_mae,best_step,start_time,end_time,duration_hours,trainable_params,param_estimated_mb,checkpoint_avg_mb,checkpoint_count,experiment_size_gb,config_paths,best_ckpt_path
DaQing,DaQing_SAITS_base,SAITS,0.1095,189,2023-07-18 16:25:49,2023-07-18 16:49:26,0.394,1333464,5.087,5.209,23,0.117,configs\\DaQing\\DaQing_SAITS_base.ini,NIPS_results/DaQing_SAITS_base/models/2023_07_18_T16_25_49/model_trainStep_189_valStep_27_imputationMAE_0.1095
DaQing,DaQing_BRITS_best,BRITS,0.1104,196,2023-07-18 15:27:15,2023-07-18 15:55:37,0.473,159856,0.61,0.622,30,0.018,configs\\DaQing\\DaQing_BRITS_best.ini,NIPS_results/DaQing_BRITS_best/models/2023_07_18_T15_31_04/model_trainStep_196_valStep_28_imputationMAE_0.1104
DaQing,DaQing_Transformer_best,Transformer,0.123,189,2023-07-18 16:57:50,2023-07-18 17:34:56,0.618,13677578,52.176,52.578,21,1.078,configs\\DaQing\\DaQing_Transformer_best.ini,NIPS_results/DaQing_Transformer_best/models/2023_07_18_T16_58_30/model_trainStep_189_valStep_27_imputationMAE_0.1230
DaQing,DaQing_SAITS_best,SAITS,0.1318,182,2023-07-18 17:29:58,2023-07-18 18:40:51,1.181,8988120,34.287,34.692,16,0.542,configs\\DaQing\\DaQing_SAITS_best.ini,NIPS_results/DaQing_SAITS_best/models/2023_07_18_T17_29_58/model_trainStep_182_valStep_26_imputationMAE_0.1318
DaQing,DaQing_MRNN_best,MRNN,0.5901,196,2023-07-18 15:59:11,2023-07-18 16:23:49,0.411,10705326,40.838,56.845,28,1.554,configs\\DaQing\\DaQing_MRNN_best.ini,NIPS_results/DaQing_MRNN_best/models/2023_07_18_T15_59_11/model_trainStep_196_valStep_28_imputationMAE_0.5901
NewZealand,NewZeaLand_BRITS_best,BRITS,0.0643,1169,2023-07-19 10:19:16,2023-07-19 12:51:50,2.543,2261888,8.628,8.643,78,0.659,configs/NewZeaLand/NewZealand_BRITS_best.ini,NIPS_results/NewZeaLand_BRITS_best/models/2023_07_19_T10_19_16/model_trainStep_1169_valStep_167_imputationMAE_0.0643
NewZealand,NewZeaLand_SAITS_base,SAITS,0.0848,567,2023-07-19 14:52:04,2023-07-19 15:53:55,1.031,1341914,5.119,5.241,48,0.246,configs/NewZeaLand/NewZealand_SAITS_base.ini,NIPS_results/NewZeaLand_SAITS_base/models/2023_07_19_T14_52_04/model_trainStep_567_valStep_81_imputationMAE_0.0848
NewZealand,NewZeaLand_Transformer_best,Transformer,0.0948,644,2023-07-19 13:26:37,2023-07-19 14:52:01,1.423,13692943,52.234,52.637,31,1.594,configs/NewZeaLand/NewZealand_Transformer_best.ini,NIPS_results/NewZeaLand_Transformer_best/models/2023_07_19_T13_26_37/model_trainStep_644_valStep_92_imputationMAE_0.0948
NewZealand,NewZeaLand_SAITS_best,SAITS,0.1204,224,2023-07-19 15:53:58,2023-07-19 16:27:40,0.562,9019610,34.407,34.812,20,0.68,configs/NewZeaLand/NewZealand_SAITS_best.ini,NIPS_results/NewZeaLand_SAITS_best/models/2023_07_19_T15_53_58/model_trainStep_224_valStep_32_imputationMAE_0.1204
NewZealand,NewZeaLand_MRNN_best,MRNN,0.4471,217,2023-07-19 12:51:54,2023-07-19 13:26:33,0.578,10808241,41.23,57.238,27,1.509,configs/NewZeaLand/NewZealand_MRNN_best.ini,NIPS_results/NewZeaLand_MRNN_best/models/2023_07_19_T12_51_54/model_trainStep_217_valStep_31_imputationMAE_0.4471
NorthSea,NorthSea_BRITS_best,BRITS,0.0566,798,2023-07-18 19:08:15,2023-07-18 19:44:00,0.596,2261888,8.628,8.642,66,0.557,.\\configs\\NorthSea\\NorthSea_BRITS_best.ini,NIPS_results/NorthSea_BRITS_best/models/2023_07_18_T19_08_15/model_trainStep_798_valStep_114_imputationMAE_0.0566
NorthSea,NorthSea_SAITS_base,SAITS,0.0771,812,2023-07-18 21:07:09,2023-07-18 21:35:59,0.481,1341914,5.119,5.241,51,0.261,.\\configs\\NorthSea\\NorthSea_SAITS_base.ini,NIPS_results/NorthSea_SAITS_base/models/2023_07_18_T21_07_09/model_trainStep_812_valStep_116_imputationMAE_0.0771
NorthSea,NorthSea__SAITS_best,SAITS,0.1011,476,2023-07-19 09:44:44,2023-07-19 10:06:04,0.356,9019610,34.407,34.812,29,0.986,.\\configs\\NorthSea\\NorthSea_SAITS_best.ini,NIPS_results/NorthSea__SAITS_best/models/2023_07_19_T09_44_44/model_trainStep_476_valStep_68_imputationMAE_0.1011
NorthSea,NorthSea_Transformer_best,Transformer,0.1148,287,2023-07-18 20:44:44,2023-07-18 20:59:39,0.249,13692943,52.234,52.637,24,1.234,.\\configs\\NorthSea\\NorthSea_Transformer_best.ini,NIPS_results/NorthSea_Transformer_best/models/2023_07_18_T20_44_44/model_trainStep_287_valStep_41_imputationMAE_0.1148
NorthSea,NorthSea_MRNN_best,MRNN,0.4394,119,2023-07-18 20:05:39,2023-07-18 20:25:23,0.329,10808241,41.23,57.238,17,0.95,.\\configs\\NorthSea\\NorthSea_MRNN_best.ini,NIPS_results/NorthSea_MRNN_best/models/2023_07_18_T20_05_39/model_trainStep_119_valStep_17_imputationMAE_0.4394
