scope,run_name,dataset_name,model_type,config_paths,seq_len,feature_num,train_set_len,trainable_params,run_start_time,run_last_update_time,total_size_gb,checkpoint_count,checkpoint_total_gb,checkpoint_avg_mb,model_session_count,best_imputation_mae_from_ckpt_name,best_ckpt_train_step,best_ckpt_val_step,best_ckpt_path,worst_imputation_mae_from_ckpt_name,max_train_step_saved,max_val_step_saved,log_file_count,overall_metrics_file_count,test_mae_from_metrics_file,test_rmse_from_metrics_file,test_mre_from_metrics_file
NIPS_results,AirQuality_BRITS_best,AirQuality_seqlen24_01masked,BRITS,configs/AirQuality_BRITS_best.ini,24,132,850,11250848,2023-07-12 22:24:21,2023-07-14 13:56:14,15.398,365,15.397,43.195,1,0.1423,4907,701,NIPS_results/AirQuality_BRITS_best/models/2023_07_13_T14_11_57/model_trainStep_4907_valStep_701_imputationMAE_0.1423,0.6873,4907,701,4,0,,,
NIPS_results,NewZeaLand_Transformer_best,NewZealand_seqlen100_02masked,Transformer,configs/NewZeaLand/NewZealand_Transformer_best.ini,100,15,38837,13692943,2023-07-19 13:26:37,2023-07-19 14:52:01,1.594,31,1.593,52.637,1,0.0948,644,92,NIPS_results/NewZeaLand_Transformer_best/models/2023_07_19_T13_26_37/model_trainStep_644_valStep_92_imputationMAE_0.0948,0.5869,644,92,1,0,,,
NIPS_results,DaQing_MRNN_best,DaQing_seqlen100_02masked,MRNN,configs\\DaQing\\DaQing_MRNN_best.ini,100,10,246,10705326,2023-07-18 15:59:11,2023-07-18 16:23:49,1.554,28,1.554,56.845,1,0.5901,196,28,NIPS_results/DaQing_MRNN_best/models/2023_07_18_T15_59_11/model_trainStep_196_valStep_28_imputationMAE_0.5901,0.8346,196,28,1,0,,,
NIPS_results,NewZeaLand_MRNN_best,NewZealand_seqlen100_02masked,MRNN,configs/NewZeaLand/NewZealand_MRNN_best.ini,100,15,38837,10808241,2023-07-19 12:51:54,2023-07-19 13:26:33,1.509,27,1.509,57.238,1,0.4471,217,31,NIPS_results/NewZeaLand_MRNN_best/models/2023_07_19_T12_51_54/model_trainStep_217_valStep_31_imputationMAE_0.4471,0.6081,217,31,1,0,,,
NIPS_results,NorthSea_Transformer_best,NorthSea_seqlen100_02masked,Transformer,.\\configs\\NorthSea\\NorthSea_Transformer_best.ini,100,15,7418,13692943,2023-07-18 20:44:44,2023-07-18 20:59:39,1.234,24,1.234,52.637,1,0.1148,287,41,NIPS_results/NorthSea_Transformer_best/models/2023_07_18_T20_44_44/model_trainStep_287_valStep_41_imputationMAE_0.1148,0.5848,287,41,1,0,,,
NIPS_results,DaQing_Transformer_best,DaQing_seqlen100_02masked,Transformer,configs\\DaQing\\DaQing_Transformer_best.ini,100,10,246,13677578,2023-07-18 16:57:50,2023-07-18 17:34:56,1.078,21,1.078,52.578,1,0.123,189,27,NIPS_results/DaQing_Transformer_best/models/2023_07_18_T16_58_30/model_trainStep_189_valStep_27_imputationMAE_0.1230,0.9947,189,27,2,0,,,
NIPS_results,NorthSea__SAITS_best,NorthSea_seqlen100_02masked,SAITS,.\\configs\\NorthSea\\NorthSea_SAITS_best.ini,100,15,7418,9019610,2023-07-19 09:44:44,2023-07-19 10:06:04,0.986,29,0.986,34.812,1,0.1011,476,68,NIPS_results/NorthSea__SAITS_best/models/2023_07_19_T09_44_44/model_trainStep_476_valStep_68_imputationMAE_0.1011,0.3497,476,68,1,0,,,
NIPS_results,NorthSea_MRNN_best,NorthSea_seqlen100_02masked,MRNN,.\\configs\\NorthSea\\NorthSea_MRNN_best.ini,100,15,7418,10808241,2023-07-18 20:05:39,2023-07-18 20:25:23,0.95,17,0.95,57.238,1,0.4394,119,17,NIPS_results/NorthSea_MRNN_best/models/2023_07_18_T20_05_39/model_trainStep_119_valStep_17_imputationMAE_0.4394,0.6418,119,17,1,0,,,
NIPS_results,NewZeaLand_SAITS_best,NewZealand_seqlen100_02masked,SAITS,configs/NewZeaLand/NewZealand_SAITS_best.ini,100,15,38837,9019610,2023-07-19 15:53:58,2023-07-19 16:27:40,0.68,20,0.68,34.812,1,0.1204,224,32,NIPS_results/NewZeaLand_SAITS_best/models/2023_07_19_T15_53_58/model_trainStep_224_valStep_32_imputationMAE_0.1204,0.4158,224,32,1,0,,,
NIPS_results,NewZeaLand_BRITS_best,NewZealand_seqlen100_02masked,BRITS,configs/NewZeaLand/NewZealand_BRITS_best.ini,100,15,38837,2261888,2023-07-19 10:19:16,2023-07-19 12:51:50,0.659,78,0.658,8.643,1,0.0643,1169,167,NIPS_results/NewZeaLand_BRITS_best/models/2023_07_19_T10_19_16/model_trainStep_1169_valStep_167_imputationMAE_0.0643,0.5556,1169,167,1,0,,,
