dataset_cn,run_name,model_type,best_imputation_mae_from_ckpt_name,best_ckpt_train_step,checkpoint_count,total_size_gb,config_paths,best_ckpt_path
DaQing（测井）,DaQing_SAITS_base,SAITS,0.1095,189,23,0.117,configs\\DaQing\\DaQing_SAITS_base.ini,NIPS_results/DaQing_SAITS_base/models/2023_07_18_T16_25_49/model_trainStep_189_valStep_27_imputationMAE_0.1095
DaQing（测井）,DaQing_BRITS_best,BRITS,0.1104,196,30,0.018,configs\\DaQing\\DaQing_BRITS_best.ini,NIPS_results/DaQing_BRITS_best/models/2023_07_18_T15_31_04/model_trainStep_196_valStep_28_imputationMAE_0.1104
DaQing（测井）,DaQing_Transformer_best,Transformer,0.123,189,21,1.078,configs\\DaQing\\DaQing_Transformer_best.ini,NIPS_results/DaQing_Transformer_best/models/2023_07_18_T16_58_30/model_trainStep_189_valStep_27_imputationMAE_0.1230
DaQing（测井）,DaQing_SAITS_best,SAITS,0.1318,182,16,0.542,configs\\DaQing\\DaQing_SAITS_best.ini,NIPS_results/DaQing_SAITS_best/models/2023_07_18_T17_29_58/model_trainStep_182_valStep_26_imputationMAE_0.1318
DaQing（测井）,DaQing_MRNN_best,MRNN,0.5901,196,28,1.554,configs\\DaQing\\DaQing_MRNN_best.ini,NIPS_results/DaQing_MRNN_best/models/2023_07_18_T15_59_11/model_trainStep_196_valStep_28_imputationMAE_0.5901
NewZealand（测井）,NewZeaLand_BRITS_best,BRITS,0.0643,1169,78,0.659,configs/NewZeaLand/NewZealand_BRITS_best.ini,NIPS_results/NewZeaLand_BRITS_best/models/2023_07_19_T10_19_16/model_trainStep_1169_valStep_167_imputationMAE_0.0643
NewZealand（测井）,NewZeaLand_SAITS_base,SAITS,0.0848,567,48,0.246,configs/NewZeaLand/NewZealand_SAITS_base.ini,NIPS_results/NewZeaLand_SAITS_base/models/2023_07_19_T14_52_04/model_trainStep_567_valStep_81_imputationMAE_0.0848
NewZealand（测井）,NewZeaLand_Transformer_best,Transformer,0.0948,644,31,1.594,configs/NewZeaLand/NewZealand_Transformer_best.ini,NIPS_results/NewZeaLand_Transformer_best/models/2023_07_19_T13_26_37/model_trainStep_644_valStep_92_imputationMAE_0.0948
NewZealand（测井）,NewZeaLand_SAITS_best,SAITS,0.1204,224,20,0.68,configs/NewZeaLand/NewZealand_SAITS_best.ini,NIPS_results/NewZeaLand_SAITS_best/models/2023_07_19_T15_53_58/model_trainStep_224_valStep_32_imputationMAE_0.1204
NewZealand（测井）,NewZeaLand_MRNN_best,MRNN,0.4471,217,27,1.509,configs/NewZeaLand/NewZealand_MRNN_best.ini,NIPS_results/NewZeaLand_MRNN_best/models/2023_07_19_T12_51_54/model_trainStep_217_valStep_31_imputationMAE_0.4471
NorthSea（测井）,NorthSea_BRITS_best,BRITS,0.0566,798,66,0.557,.\\configs\\NorthSea\\NorthSea_BRITS_best.ini,NIPS_results/NorthSea_BRITS_best/models/2023_07_18_T19_08_15/model_trainStep_798_valStep_114_imputationMAE_0.0566
NorthSea（测井）,NorthSea_SAITS_base,SAITS,0.0771,812,51,0.261,.\\configs\\NorthSea\\NorthSea_SAITS_base.ini,NIPS_results/NorthSea_SAITS_base/models/2023_07_18_T21_07_09/model_trainStep_812_valStep_116_imputationMAE_0.0771
NorthSea（测井）,NorthSea__SAITS_best,SAITS,0.1011,476,29,0.986,.\\configs\\NorthSea\\NorthSea_SAITS_best.ini,NIPS_results/NorthSea__SAITS_best/models/2023_07_19_T09_44_44/model_trainStep_476_valStep_68_imputationMAE_0.1011
NorthSea（测井）,NorthSea_Transformer_best,Transformer,0.1148,287,24,1.234,.\\configs\\NorthSea\\NorthSea_Transformer_best.ini,NIPS_results/NorthSea_Transformer_best/models/2023_07_18_T20_44_44/model_trainStep_287_valStep_41_imputationMAE_0.1148
NorthSea（测井）,NorthSea_MRNN_best,MRNN,0.4394,119,17,0.95,.\\configs\\NorthSea\\NorthSea_MRNN_best.ini,NIPS_results/NorthSea_MRNN_best/models/2023_07_18_T20_05_39/model_trainStep_119_valStep_17_imputationMAE_0.4394
